Date,Close,High,Low,Open,Volume
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2024-10-11,4038.26318359375,4128.53333028406,4002.4957669806086,4032.228762673341,5759183
2024-10-14,4026.048828125,4054.030143087867,4011.985461044563,4029.309354652857,2137590
2024-10-15,4006.72900390625,4058.4583135131084,3985.5120601963704,4020.5980019179224,2759474
2024-10-16,3985.463623046875,4004.977595426913,3958.455572433729,3975.77970287216,2359151
2024-10-17,3999.137939453125,4019.5279907826875,3983.517019716296,4002.8361490146467,2522659
2024-10-18,4022.601806640625,4045.139127062989,3980.6008048786325,3990.3571794003938,2361000
2024-10-21,3980.45458984375,4039.0904965167197,3970.84446557748,4031.9194659025243,1595450
2024-10-22,3917.672119140625,3990.1620281792834,3908.7451318899793,3966.941809594268,1928049
2024-10-23,3967.185791015625,4013.333251962213,3897.8178728694957,3902.1596500870783,1966476
2024-10-24,3949.28271484375,3979.625134633495,3906.4523263232445,3906.4523263232445,2676744
2024-10-25,3958.697998046875,3992.3086623876147,3934.4533108195474,3958.2101792953617,1759676
2024-10-28,3991.1865234375,4033.285183767461,3952.307276110785,3969.8199205497963,1532534
2024-10-29,3975.966552734375,4003.528310936877,3961.1857405152614,3996.064779656481,1445885
2024-10-30,3985.137451171875,4006.9430436551293,3961.1369125988613,3975.7226449706964,1935002
2024-10-31,3871.7685546875,3978.942428383255,3863.5244655246142,3970.8445895669647,3740372
2024-11-01,3887.134521484375,3901.5251732826187,3879.183171869555,3892.647015766796,154895
2024-11-04,3867.572998046875,3894.6469365556954,3817.9131484555364,3869.670761423557,2269192
2024-11-05,3874.597900390625,3888.890893822637,3845.084867390591,3845.084867390591,967590
2024-11-06,4038.79736328125,4048.699987848678,3878.402666199812,3906.0620824219423,3792017
2024-11-07,4049.773193359375,4103.335591408104,3985.527613406063,4068.115462333184,3724349
2024-11-08,4045.968505859375,4068.1642578507667,4017.33345141976,4053.7736054607435,1648039
2024-11-11,4096.4091796875,4131.141492034985,4017.333477996721,4027.6267389954055,1406487
2024-11-12,4095.140380859375,4115.238606838428,4062.895754923275,4113.287332012994,1587640
2024-11-13,4049.23681640625,4094.5062969144287,4030.406728578088,4076.310754510587,1098813
2024-11-14,4044.895263671875,4058.6518471810027,4016.163026210019,4034.2609105993865,1825432
2024-11-18,3921.57470703125,4110.360552487288,3892.9884822771373,4110.360552487288,3313944
2024-11-19,3941.13623046875,4031.480113627816,3916.3063054982117,3921.9648120415777,1776233
2024-11-21,3973.625,3992.7473507024833,3925.965016292026,3946.3557432914004,2384347
2024-11-22,4141.19091796875,4151.288861103091,3955.2343201224994,3971.820157182707,3096553
2024-11-25,4209.97314453125,4222.656431046117,4148.605645824869,4175.728175664016,4052167
2024-11-26,4246.6572265625,4260.218491544675,4204.997317801787,4215.777920835005,2060669
2024-11-27,4226.998046875,4270.755483890498,4218.705128150888,4252.75525790299,1558993
2024-11-28,4141.48291015625,4234.217526517422,4129.872920916702,4213.77773338985,2558544
2024-11-29,4166.80126953125,4193.9728676012255,4093.433143249066,4117.190010267872,2017425
2024-12-02,4172.4599609375,4183.728859736721,4126.99515879414,4165.972066930035,1670944
2024-12-03,4197.92431640625,4219.6322511084845,4161.533227661875,4209.241806853954,2010905
2024-12-04,4248.31591796875,4280.073205047333,4184.557910817311,4208.461030035693,3302642
2024-12-05,4355.2939453125,4379.636288998897,4253.779064387433,4293.58487975688,3746747
2024-12-06,4337.1962890625,4356.221219359816,4305.24416253752,4344.513569946083,1842087
2024-12-09,4343.68408203125,4360.513827672922,4307.975656870958,4322.513035664019,2066639
2024-12-10,4324.5615234375,4384.319316351734,4304.61002371619,4318.317539128453,2087828
2024-12-11,4319.58642578125,4340.269654882208,4299.6344484174,4323.87913549009,1635256
2024-12-12,4346.416015625,4375.733728872969,4318.171122406189,4322.1222633128655,1914642
2024-12-13,4364.904296875,4385.392683346578,4287.341119518311,4326.903503988762,1967048
2024-12-16,4307.634765625,4365.977696014191,4289.8779730445585,4350.3674964306765,1646224
2024-12-17,4223.046875,4324.952401373476,4212.802681356128,4302.561330426244,3225027
2024-12-18,4241.92529296875,4255.730467318562,4185.094412702517,4206.656095170747,1575404
2024-12-19,4167.8251953125,4257.681492575425,4158.166480604139,4177.679228049489,3015763
2024-12-20,4068.700439453125,4275.243066611995,4051.334284369309,4223.534284656168,4116989
2024-12-23,4056.9931640625,4114.263274996659,4014.650592482862,4097.726029068692,2195338
2024-12-24,4077.676513671875,4115.2385535753,4056.992810235809,4056.992810235809,1181886
2024-12-26,4067.5302734375,4097.628784678773,4042.212290524461,4077.6768078533505,1208464
2024-12-27,4063.3837890625,4079.0916475171284,4046.212474411207,4061.578764476184,858100
2024-12-30,4057.48095703125,4096.9942749299735,4011.8213135691426,4049.871175249395,1527169
2024-12-31,3995.040283203125,4039.0904570447565,3933.819033134336,4034.2608611066544,1555429
2025-01-01,4012.26025390625,4033.285049519739,3985.9178056658616,3994.649712839411,763161
2025-01-02,4074.01806640625,4081.091437891958,3997.1380261916397,4019.626278774771,1720835
2025-01-03,4000.015869140625,4078.1159325156623,3992.601167467478,4078.1159325156623,1791953
2025-01-06,3995.2353515625,4048.55384284533,3967.33202525862,4005.4795447716347,2085593
2025-01-07,3930.160400390625,4039.48062466097,3913.818473049415,4014.699528626618,2669054
2025-01-08,4008.308837890625,4025.480152431607,3919.8673975841225,3936.599484714735,2181277
2025-01-09,3940.453369140625,4036.9438166628684,3927.233434192361,4001.0891407490603,2392472
2025-01-10,4161.7275390625,4192.3138665284805,4068.4079179482815,4097.67703966014,7894300
2025-01-13,4186.55810546875,4217.63225463054,4124.409807145168,4141.581122151328,4003771
2025-01-14,4129.921875,4208.802257304192,4116.262950839464,4197.192267044829,3441709
2025-01-15,4146.0693359375,4152.752548284097,4104.9463093928225,4115.2390947631675,1653474
2025-01-16,4103.82373046875,4189.387327787492,4089.7260547521782,4156.215653557223,2637705
2025-01-17,4087.964599609375,4123.945085907447,4063.9282428372853,4123.251059336668,1761466
2025-01-20,4041.87451171875,4109.275187749958,4032.260017399004,4109.275187749958,1287799
2025-01-21,4000.294189453125,4074.782019875334,3994.4956312570166,4059.22038554109,1971591
2025-01-22,4119.98046875,4126.472569686494,4008.570567070649,4014.319517493651,2409223
2025-01-23,4108.9287109375,4154.424234386973,4103.575897842693,4131.2798514749675,1822998
2025-01-24,4115.767578125,4141.191502882228,4067.8434484989616,4067.8434484989616,1910099
2025-01-27,4029.335693359375,4119.732409603993,4005.4481609662266,4065.861139494707,1551782
2025-01-28,4004.704833984375,4065.8612059687466,3992.810554493486,4034.9361276903833,2468272
2025-01-29,4063.680419921875,4071.6597895180053,4018.2841131724467,4018.2841131724467,1217089
2025-01-30,4063.92822265625,4093.5153399092133,4022.7444731997584,4063.7796409573857,1531251
2025-01-31,4076.16943359375,4092.0783226009103,4049.258723379119,4073.7906745213095,1492943
2025-02-01,4037.265380859375,4099.462552267958,4020.2665694535635,4076.764398462157,437172
2025-02-03,4032.804931640625,4041.0814645977634,3963.4712423764154,3995.387510672127,1265713
2025-02-04,4070.866455078125,4082.562786773872,4030.2279094720234,4047.7223151411663,2547132
2025-02-05,4055.057373046875,4113.438365339778,4040.090307740948,4113.438365339778,1693912
2025-02-06,4046.78076171875,4103.030791288902,4015.8556837274673,4069.2311172534987,2284536
2025-02-07,3993.900634765625,4053.9668417349,3972.689266912831,4053.9668417349,1548940
2025-02-10,4001.38427734375,4016.3017347020295,3978.9835293479905,4004.4074551323297,1339511
2025-02-11,3928.631103515625,4004.407529279412,3920.156380767345,3982.9977288616255,1810908
2025-02-12,3915.348876953125,3986.3181740377236,3905.4369774714623,3936.114499958995,1678002
2025-02-13,3875.701416015625,3949.346880165372,3867.871111944238,3933.0418533396723,2277310
2025-02-14,3900.183837890625,3913.2178888247336,3865.640771635375,3890.4205201714994,1681975
2025-02-17,3870.10107421875,3899.3411770973394,3822.2265522941643,3822.523957670536,1799806
2025-02-18,3839.076904296875,3889.825781845942,3830.4536000436697,3864.054842888474,2149879
2025-02-19,3750.761962890625,3840.8114240852815,3734.9522896962358,3838.085651740005,4366672
2025-02-20,3746.103271484375,3754.6276020123996,3718.2509785534694,3728.3610678378145,2888572
2025-02-21,3752.645263671875,3783.3721530468956,3741.742173893642,3742.8325796673616,1833931
2025-02-24,3643.218017578125,3730.046115354277,3637.6672568480726,3710.1727076920765,2508516
2025-02-25,3597.573486328125,3625.7727916542253,3589.3465614482952,3593.0635237142064,4101954
2025-02-27,3580.723388671875,3605.9491251101153,3568.9776906850625,3579.8807803981495,3823856
2025-02-28,3452.5625,3568.2839302375655,3426.5437630086844,3553.3664726312627,7085018
2025-03-03,3462.276123046875,3492.210011310126,3445.524867602231,3454.2969955057943,4990439
2025-03-04,3500.9326171875,3519.715618910179,3433.779496043832,3443.393990451693,2797737
2025-03-05,3515.80029296875,3568.63076468625,3489.831165175846,3489.831165175846,2501894
2025-03-06,3569.869873046875,3577.6505690745926,3504.946930370165,3525.662703832945,2786513
2025-03-07,3579.385009765625,3593.063479132406,3542.9091721174527,3568.2837310004584,2051315
2025-03-10,3558.02490234375,3590.1892097689415,3551.037206797617,3574.7265497742465,1004626
2025-03-11,3543.801513671875,3557.132970240765,3506.4830664704914,3526.6538789597053,1995450
2025-03-12,3475.31005859375,3537.804631618307,3456.130678783226,3533.592074446807,3174167
2025-03-13,3480.117431640625,3493.250698135823,3453.4049115822995,3471.444519804173,1693004
2025-03-17,3466.885009765625,3499.346480347681,3446.714439651225,3458.261705673071,2690906
2025-03-18,3466.885009765625,3466.885009765625,3466.885009765625,3466.885009765625,0
2025-03-19,3466.29052734375,3515.7508098576654,3432.2430552113424,3515.7508098576654,3051244
2025-03-20,3531.75830078125,3547.419150066534,3481.0590326792085,3481.0590326792085,2845192
2025-03-21,3546.576904296875,3584.3907045989267,3434.473222657527,3444.385122290016,4161925
2025-03-24,3596.978759765625,3617.5955593477447,3535.1782109049886,3568.283858799063,1834751
2025-03-25,3625.525146484375,3677.314822898512,3605.949144394821,3612.8874742493467,3135390
2025-03-26,3603.7685546875,3648.074698112849,3593.906262847376,3615.613226474975,1734499
2025-03-27,3619.03271484375,3630.728804709229,3578.6913320782614,3583.003105177864,2528474
2025-03-28,3574.379638671875,3628.6968978080436,3560.255181499984,3618.8346059350924,2051919
2025-04-01,3519.517333984375,3552.4247920304606,3493.944584795584,3541.224297162105,2618493
2025-04-02,3512.7275390625,3532.70016154505,3498.9500956939714,3512.7771469574404,1764313
2025-04-03,3373.16796875,3471.147191731695,3366.2296391263217,3460.2441023230576,4537821
2025-04-04,3270.33203125,3369.698823950673,3266.4664872326007,3332.975429816177,5317367
